Country,City,Time,Weather,Continent,Collected Date,Collected Time
Algeria,Algiers,22:07:00,81,Africa,2026-09-11,14:07:50
Angola,Luanda,22:07:00,70,Africa,2026-09-11,14:07:50
Benin,Porto Novo,22:07:00,79,Africa,2026-09-11,14:07:50
Botswana,Gaborone,23:07:00,59,Africa,2026-09-11,14:07:50
Burundi,Bujumbura,23:07:00,79,Africa,2026-09-11,14:07:50
Burundi,Gitega,23:07:00,79,Africa,2026-09-11,14:07:50
Cameroon,Yaoundé,22:07:00,72,Africa,2026-09-11,14:07:50
Central African Republic,Bangui,22:07:00,77,Africa,2026-09-11,14:07:50
Chad,N'Djamena,22:07:00,82,Africa,2026-09-11,14:07:50
Comoros,Moroni,00:07:00,77,Africa,2026-09-11,14:07:50
Congo,Brazzaville,22:07:00,79,Africa,2026-09-11,14:07:50
Congo Dem. Rep.,Kinshasa,22:07:00,79,Africa,2026-09-11,14:07:50
Cote d'Ivoire (Ivory Coast),Abidjan,21:07:00,78,Africa,2026-09-11,14:07:50
Egypt,Cairo,00:07:00,79,Africa,2026-09-11,14:07:50
Equatorial Guinea,Malabo,22:07:00,77,Africa,2026-09-11,14:07:50
Eswatini,Mbabane,23:07:00,77,Africa,2026-09-11,14:07:50
Ethiopia,Addis Ababa,00:07:00,61,Africa,2026-09-11,14:07:50
Gabon,Libreville,22:07:00,79,Africa,2026-09-11,14:07:50
Gambia,Banjul,21:07:00,82,Africa,2026-09-11,14:07:50
Ghana,Accra,21:07:00,77,Africa,2026-09-11,14:07:50
Guinea,Conakry,21:07:00,81,Africa,2026-09-11,14:07:50
Guinea-Bissau,Bissau,21:07:00,82,Africa,2026-09-11,14:07:50
Kenya,Nairobi,00:07:00,64,Africa,2026-09-11,14:07:50
Lesotho,Maseru,23:07:00,77,Africa,2026-09-11,14:07:50
Liberia,Monrovia,21:07:00,75,Africa,2026-09-11,14:07:50
Madagascar,Antananarivo,00:07:00,59,Africa,2026-09-11,14:07:50
Malawi,Lilongwe,23:07:00,80,Africa,2026-09-11,14:07:50
Mali,Bamako,21:07:00,81,Africa,2026-09-11,14:07:50
Mauritius,Port Louis,01:07:00,64,Africa,2026-09-11,14:07:50
Morocco,Casablanca,22:07:00,79,Africa,2026-09-11,14:07:50
Morocco,Rabat,22:07:00,75,Africa,2026-09-11,14:07:50
Namibia,Windhoek,23:07:00,74,Africa,2026-09-11,14:07:50
Niger,Niamey,22:07:00,88,Africa,2026-09-11,14:07:50
Nigeria,"Lagos, Lagos",22:07:00,79,Africa,2026-09-11,14:07:50
Réunion (French),Saint-Denis,01:07:00,70,Africa,2026-09-11,14:07:50
Rwanda,Kigali,23:07:00,77,Africa,2026-09-11,14:07:50
